"Date","Open","High","Low","Close"
"23 Jun 2016","2157.75","2173.45","2143.15","2168.15"
"22 Jun 2016","2165.75","2165.75","2135.8","2160.65"
"21 Jun 2016","2171.25","2180.3","2158.35","2162.80"
"20 Jun 2016","2113.8","2168.65","2113.25","2165.90"
"17 Jun 2016","2145.2","2146","2122.6","2131.25"
"16 Jun 2016","2113.05","2136.7","2095.95","2132.45"
"15 Jun 2016","2109.05","2120.5","2090.75","2118.35"
"14 Jun 2016","2092.3","2104.05","2084.85","2101.80"
"13 Jun 2016","2085.8","2095.15","2070.2","2087.15"
"10 Jun 2016","2118","2144.15","2108.35","2113.75"
"09 Jun 2016","2083.15","2122.25","2083.15","2112.15"
"08 Jun 2016","2082.9","2090.45","2069.05","2082.80"
"07 Jun 2016","2060.95","2081.7","2051.55","2078.25"
"06 Jun 2016","2042.1","2061.55","2028.7","2049.80"
"03 Jun 2016","2070.65","2074","2042.5","2047.65"
"02 Jun 2016","2010.15","2056.75","2009.05","2052.00"
"01 Jun 2016","2037.85","2043.5","2010.45","2014.60"
"31 May 2016","2010.8","2044.25","1988.35","2031.85"
"30 May 2016","2009.75","2031.4","1998.55","2008.05"
"27 May 2016","1949","1972.8","1945.85","1968.80"
"26 May 2016","1920.2","1947.1","1915.65","1941.90"
"25 May 2016","1918.75","1925.2","1909.8","1923.05"
"24 May 2016","1903.1","1903.5","1871.95","1899.40"
"23 May 2016","1926.8","1928.1","1895.6","1899.15"
"20 May 2016","1919.3","1930","1905.1","1909.30"
"19 May 2016","1947.75","1973.15","1913.2","1917.25"
"18 May 2016","1927.3","1952.3","1918.3","1948.35"
"17 May 2016","1949.35","1950.5","1931.3","1934.90"
"16 May 2016","1924.4","1937.9","1911.7","1935.55"
"13 May 2016","1952.4","1956.1","1916.55","1920.25"
"12 May 2016","1956.55","1967.4","1945.25","1963.85"
"11 May 2016","1923.6","1962.35","1918.9","1948.35"
"10 May 2016","1969.85","1974.55","1947.15","1950.05"
"09 May 2016","1977.4","1993.8","1966.7","1974.80"
"06 May 2016","1958.95","1970.55","1944.6","1966.30"
"05 May 2016","1965.1","1983.1","1945.5","1967.45"
"04 May 2016","2025.55","2027.6","1958.65","1964.00"
"03 May 2016","2077.85","2086.7","2037.95","2041.90"
"02 May 2016","2040.55","2074.15","2028.25","2065.35"
"29 Apr 2016","2032.45","2061.05","2011.95","2045.80"
"28 Apr 2016","2081.9","2086.7","2026.55","2031.85"
"27 Apr 2016","2086.05","2096.9","2073.4","2080.30"
"26 Apr 2016","2033.65","2085.2","2033.65","2082.40"
"25 Apr 2016","2062.45","2063.5","2018.6","2035.85"
"22 Apr 2016","2072.45","2085.2","2057.15","2061.95"
"21 Apr 2016","2081.15","2093.95","2060.15","2069.90"
"20 Apr 2016","2004.95","2073.5","2002.35","2068.10"
"18 Apr 2016","1970.3","1989.55","1950.55","1986.75"
"13 Apr 2016","1940.65","1979.4","1940.65","1967.50"
"12 Apr 2016","1932.45","1942","1916.5","1922.60"
"11 Apr 2016","1912.5","1948.9","1907.65","1944.10"
"08 Apr 2016","1895.4","1914.85","1887.85","1905.75"
"07 Apr 2016","1920.65","1924.9","1894.8","1899.25"
"06 Apr 2016","1871.9","1924.85","1870.5","1912.50"
"05 Apr 2016","1901.1","1906.55","1855.95","1861.65"
"04 Apr 2016","1907.7","1920.45","1903.75","1912.30"
"01 Apr 2016","1907.6","1911.15","1888.05","1901.00"
"31 Mar 2016","1933.8","1939.15","1895.75","1912.65"
"30 Mar 2016","1881.45","1935.65","1870.8","1927.00"
"29 Mar 2016","1855.45","1881.8","1848.2","1860.40"
"28 Mar 2016","1954.5","1954.5","1845.85","1853.20"
"23 Mar 2016","1917.1","1951.9","1917.1","1948.60"
"22 Mar 2016","1885","1918.05","1874.6","1908.90"
"21 Mar 2016","1879.65","1890.65","1868.6","1885.05"
"18 Mar 2016","1852.7","1882","1844.85","1877.90"
"17 Mar 2016","1859.45","1865.15","1826.4","1831.55"
"16 Mar 2016","1851.6","1851.6","1808.6","1832.30"
"15 Mar 2016","1846.45","1860.5","1831.9","1849.75"
"14 Mar 2016","1847.3","1860.95","1838.75","1843.85"
"11 Mar 2016","1864.4","1880.3","1838.3","1856.60"
"10 Mar 2016","1866","1895.75","1860.95","1868.90"
"09 Mar 2016","1829.35","1856.9","1816.05","1854.75"
"08 Mar 2016","1851.2","1891.65","1851.2","1871.30"
"04 Mar 2016","1810.65","1837.2","1786.35","1828.00"
"03 Mar 2016","1738.15","1799.8","1731.75","1796.20"
"02 Mar 2016","1699.45","1738.15","1698.7","1713.70"
"01 Mar 2016","1642.5","1680.8","1636.15","1678.30"
"29 Feb 2016","1640.95","1678.95","1609.1","1633.65"
