Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),PERCENTAGE,DISTRIBUTION,distriBUTION count,D DAYS
16-Jun-20,10014.8,10046.15,9728.5,9914,899895044,36257.89,1.011700625,0,0,N
17-Jun-20,9876.7,10003.6,9833.8,9881.15,685418390,30700.69,-0.332451182,1,0,N
18-Jun-20,9863.25,10111.2,9845.05,10091.65,622895963,28594.32,2.085882883,1,0,N
19-Jun-20,10119,10272.4,10072.65,10244.4,892096343,48103.56,1.49105853,0,0,N
22-Jun-20,10318.75,10393.65,10277.6,10311.2,685385093,35529.8,0.647839243,1,0,N
23-Jun-20,10347.95,10484.7,10301.75,10471,669195109,34148.13,1.526119759,1,0,N
24-Jun-20,10529.25,10553.15,10281.95,10305.3,854799801,41394.45,-1.607910493,0,1,N
25-Jun-20,10235.55,10361.8,10194.5,10288.9,994190886,41726.07,-0.159395076,0,0,N
26-Jun-20,10378.9,10409.85,10311.25,10383,671910159,31841.68,0.906289126,1,0,N
29-Jun-20,10311.95,10337.95,10223.6,10312.4,574544482,27019.46,-0.684612699,1,0,N
30-Jun-20,10382.6,10401.05,10267.35,10302.1,556238560,27342.55,-0.099979616,1,0,N
1-Jul-20,10323.8,10447.05,10299.6,10430.05,573550127,28736.28,1.226743879,0,0,N
2-Jul-20,10493.05,10598.2,10485.55,10551.7,597423931,31235.17,1.152894794,0,0,N
3-Jul-20,10614.95,10631.3,10562.65,10607.35,525190704,25186.39,0.524636219,1,0,N
6-Jul-20,10723.85,10811.4,10695.1,10763.65,571212914,29857.54,1.452109647,0,0,N
7-Jul-20,10802.85,10813.8,10689.7,10799.65,636764929,36502.37,0.333344136,0,0,N
8-Jul-20,10818.65,10847.85,10676.55,10705.75,767941333,37676.34,-0.877098755,0,1,N
9-Jul-20,10755.55,10836.85,10733,10813.45,618652409,31315.87,0.995981856,1,0,N
10-Jul-20,10764.1,10819.4,10713,10768.05,590705425,31557.58,-0.421617656,1,0,N
13-Jul-20,10851.85,10894.05,10756.05,10802.7,554050579,30606.3,0.320753145,1,0,N
14-Jul-20,10750.85,10755.65,10562.9,10607.35,532368699,30902.47,-1.841647537,1,1,Y
15-Jul-20,10701,10827.45,10577.75,10618.2,715901258,42376.03,0.102183044,0,0,N
16-Jul-20,10706.2,10755.3,10595.2,10739.95,694402635,41453.95,1.13361794,1,0,N
17-Jul-20,10752,10933.45,10749.65,10901.7,676881092,35592.83,1.483713549,1,0,N
20-Jul-20,10999.45,11037.9,10953,11022.2,554306867,32738.64,1.093248172,1,0,N
21-Jul-20,11126.1,11179.55,11113.25,11162.25,771998838,42461.89,1.254675357,0,0,N
22-Jul-20,11231.2,11238.1,11056.55,11132.6,765074288,41068.72,-0.266334908,1,0,N
23-Jul-20,11135,11239.8,11103.15,11215.45,621575333,32744.93,0.738713114,1,0,N
24-Jul-20,11149.95,11225.4,11090.3,11194.15,678935175,40217.17,-0.190277958,0,0,N
27-Jul-20,11225,11225,11087.85,11131.8,588148687,34539.73,-0.560107081,1,0,N
28-Jul-20,11154.1,11317.75,11151.4,11300.55,683891350,38677.47,1.49329015,0,0,N
29-Jul-20,11276.9,11341.4,11149.75,11202.85,600726301,38726.02,-0.87209951,1,1,Y
30-Jul-20,11254.3,11299.95,11084.95,11102.15,677761342,39150.44,-0.907031521,0,1,N
31-Jul-20,11139.5,11150.4,11026.65,11073.45,642560311,36220.09,-0.259178485,1,0,N
3-Aug-20,11057.55,11058.05,10882.25,10891.6,680929323,31149.94,-1.669635315,0,1,N
4-Aug-20,10946.65,11112.25,10908.1,11095.25,625738313,35357.96,1.835470134,1,0,N
5-Aug-20,11155.75,11225.65,11064.05,11101.65,667639446,34894.58,0.057649088,0,0,N
6-Aug-20,11185.7,11256.8,11127.3,11200.15,600374615,31501.08,0.879452507,1,0,N
7-Aug-20,11186.65,11231.9,11142.05,11214.05,452629891,27054.43,0.12395165,1,0,N
10-Aug-20,11270.25,11337.3,11238,11270.15,491999534,29108.25,0.497775096,0,0,N
11-Aug-20,11322.25,11373.6,11299.15,11322.5,586084846,30314.89,0.46235372,0,0,N
12-Aug-20,11289,11322,11242.65,11308.4,609858960,28088.09,-0.124686074,0,0,N
13-Aug-20,11334.85,11359.3,11269.95,11300.45,562355175,26500.52,-0.070351181,1,0,N
14-Aug-20,11353.3,11366.25,11111.45,11178.4,645109756,31059.23,-1.09183783,0,1,N
17-Aug-20,11248.9,11267.1,11144.5,11247.1,633963958,27468.67,0.610824124,1,0,N
18-Aug-20,11259.8,11401.7,11253.15,11385.35,579242492,27267.51,1.214279754,1,0,N
19-Aug-20,11452.15,11460.35,11394.1,11408.4,626217997,27528.12,0.202044108,0,0,N
20-Aug-20,11317.45,11361.45,11289.8,11312.2,791587770,27676.18,-0.850409293,0,1,N
21-Aug-20,11409.65,11418.5,11362.2,11371.6,668719170,26294.26,0.522353934,1,0,N
24-Aug-20,11412,11497.25,11410.65,11466.45,532900535,28920.84,0.827195863,1,0,N
25-Aug-20,11513.1,11525.9,11423.35,11472.25,638152608,28742.82,0.050556778,0,0,N
26-Aug-20,11512.85,11561.75,11461.85,11549.6,743442521,34852.01,0.669720163,0,0,N
27-Aug-20,11609.3,11617.35,11540.6,11559.25,719776490,31580.61,0.083482925,1,0,N
28-Aug-20,11602.95,11686.05,11589.4,11647.6,806997707,39349.92,0.758525361,0,0,N
31-Aug-20,11777.55,11794.25,11325.85,11387.5,1371789450,61668.55,-2.284083425,0,1,N
1-Sep-20,11464.3,11553.55,11366.9,11470.25,783769555,36752.54,0.721431529,1,0,N
2-Sep-20,11478.55,11554.75,11430.4,11535,593494423,27454.65,0.561335067,1,0,N
3-Sep-20,11566.2,11584.95,11507.65,11527.45,607115212,26868.26,-0.065495838,0,0,N
4-Sep-20,11354.4,11452.05,11303.65,11333.85,681338905,31746.86,-1.708157422,0,1,N
7-Sep-20,11359.6,11381.15,11251.7,11355.05,560322964,25959.82,0.186701071,1,0,N
8-Sep-20,11378.55,11437.25,11290.45,11317.35,572239350,27979.7,-0.333116852,0,0,N
9-Sep-20,11218.6,11298.15,11185.15,11278,728880693,32660.67,-0.348909381,0,0,N
10-Sep-20,11363.3,11464.05,11327.4,11449.25,679419973,39239.1,1.495731161,1,0,N
11-Sep-20,11447.8,11493.5,11419.9,11464.45,554789157,29614.09,0.13258377,1,0,N
14-Sep-20,11540.15,11568.9,11383.55,11440.05,642270123,33996.94,-0.213285781,0,0,N
15-Sep-20,11487.2,11535.95,11442.25,11521.8,506667239,28054.51,0.709524553,1,0,N
16-Sep-20,11538.45,11618.1,11516.75,11604.55,527804775,27629.71,0.713082369,0,0,N
17-Sep-20,11539.4,11587.2,11498.5,11516.1,517729494,29674.95,-0.768055158,1,1,Y
18-Sep-20,11584.1,11584.1,11446.1,11504.95,764154094,48698.68,-0.096914806,0,0,N
21-Sep-20,11503.8,11535.25,11218.5,11250.55,602851737,37213.23,-2.261222785,1,1,Y
22-Sep-20,11301.75,11302.2,11084.65,11153.65,672249921,36296.49,-0.868773899,0,1,N
23-Sep-20,11258.75,11259.55,11024.4,11131.85,714925847,35542.98,-0.195834475,0,0,N
24-Sep-20,11011,11015.3,10790.2,10805.55,706139506,33623.71,-3.019744483,1,1,Y
25-Sep-20,10910.4,11072.6,10854.85,11050.25,559597322,31122.18,2.214429538,1,0,N
28-Sep-20,11140.85,11239.35,11099.85,11227.55,472777324,24361.17,1.579151284,1,0,N
29-Sep-20,11288.6,11305.4,11181,11222.4,498295735,26875.14,-0.045890362,0,0,N
30-Sep-20,11244.45,11295.4,11184.55,11247.55,499343849,28134.77,0.223604252,0,0,N
1-Oct-20,11364.45,11428.6,11347.05,11416.95,447740006,26212.72,1.483758797,1,0,N
5-Oct-20,11487.8,11578.05,11452.3,11503.35,530597393,31341.55,0.751085553,0,0,N
6-Oct-20,11603.45,11680.3,11564.3,11662.4,561444728,30373.65,1.36378447,0,0,N
7-Oct-20,11679.25,11763.05,11629.35,11738.85,513367516,32935.98,0.651256299,1,0,N
8-Oct-20,11835.4,11905.7,11791.15,11834.6,608768573,38677.49,0.809068325,0,0,N
9-Oct-20,11852.05,11938.6,11805.2,11914.2,611079482,34546.8,0.668110322,0,0,N
12-Oct-20,11973.55,12022.05,11867.2,11930.95,522627571,26586.47,0.140391168,1,0,N
13-Oct-20,11934.65,11988.2,11888.9,11934.5,458304851,29403.22,0.029745695,1,0,N
14-Oct-20,11917.4,11997.2,11822.15,11971.05,569245407,29940.62,0.305319918,0,0,N
15-Oct-20,12023.45,12025.45,11661.3,11680.35,608865041,35175.92,-2.488795284,0,1,N
16-Oct-20,11727.4,11789.75,11667.85,11762.45,555764762,30439.19,0.697983838,1,0,N
19-Oct-20,11879.2,11898.25,11820.4,11873.05,541420990,29888.6,0.931521387,1,0,N
20-Oct-20,11861,11949.25,11837.25,11896.8,453560934,28367.34,0.199633515,1,0,N
21-Oct-20,11958.55,12018.65,11775.75,11937.65,623658140,37477.13,0.342194653,0,0,N
22-Oct-20,11890,11939.55,11823.45,11896.45,544901152,33013.17,-0.346321802,1,0,N
23-Oct-20,11957.9,11974.55,11908.75,11930.35,502340361,27424.61,0.28414925,1,0,N
26-Oct-20,11937.4,11942.85,11711.7,11767.75,519815905,29316.02,-1.381742474,0,1,N
27-Oct-20,11807.1,11899.05,11723,11889.4,616318543,37989.97,1.023180312,0,0,N
28-Oct-20,11922.6,11929.4,11684.85,11729.6,704018608,37025.89,-1.362365298,0,1,N
29-Oct-20,11633.3,11744.15,11606.45,11670.8,554959844,30436.62,-0.503821503,1,0,N
30-Oct-20,11678.45,11748.95,11535.45,11642.4,553672805,28151.58,-0.243935958,1,0,N
2-Nov-20,11697.35,11725.65,11557.4,11669.15,568434165,35714.57,0.22923692,0,0,N
3-Nov-20,11734.45,11836.2,11723.3,11813.5,674303605,36363.95,1.22190714,0,0,N
4-Nov-20,11783.35,11929.65,11756.4,11908.5,667290347,38552.09,0.797749507,1,0,N
5-Nov-20,12062.4,12131.1,12027.6,12120.3,632455414,32311.46,1.747481498,1,0,N
6-Nov-20,12156.65,12280.4,12131.85,12263.55,576837602,34965.94,1.168095698,1,0,N
9-Nov-20,12399.4,12474.05,12367.35,12461.05,553449924,34255.11,1.584938669,1,0,N
10-Nov-20,12556.4,12643.9,12475.25,12631.1,847450692,51247.01,1.346280213,0,0,N
11-Nov-20,12680.6,12769.75,12571.1,12749.15,880475468,54744.55,0.925944083,0,0,N
12-Nov-20,12702.15,12741.15,12624.85,12690.8,622017762,36794.24,-0.459781889,1,0,N
13-Nov-20,12659.7,12735.95,12607.7,12719.95,513948665,34568.65,0.229167567,1,0,N
14-Nov-20,12823.35,12828.7,12749.45,12780.25,107868139,5189.38,0.471821756,1,0,N
17-Nov-20,12932.5,12934.05,12797.1,12874.2,707676873,40977.03,0.729754082,0,0,N
18-Nov-20,12860.1,12948.85,12819.35,12938.25,731321438,39856.45,0.495043766,0,0,N
19-Nov-20,12839.5,12963,12745.75,12771.7,768751782,44747.08,-1.304055059,0,1,N
20-Nov-20,12813.4,12892.45,12730.25,12859.05,663997267,42992.15,0.679288128,1,0,N
23-Nov-20,12960.3,12968.85,12825.7,12926.45,633117401,42031.38,0.521411524,1,0,N
24-Nov-20,13002.6,13079.1,12978,13055.15,571864976,37094.23,0.985817857,1,0,N
25-Nov-20,13130,13145.85,12833.65,12858.4,679005507,37401.36,-1.530128165,0,1,N
26-Nov-20,12906.45,13018,12790.4,12987,549798925,34624.15,0.99022099,1,0,N
27-Nov-20,13012.05,13035.3,12914.3,12968.95,1162360673,78522.93,-0.139178577,0,0,N
1-Dec-20,13062.2,13128.4,12962.8,13109.05,583633902,32917.26,1.06872733,1,0,N
2-Dec-20,13121.4,13128.5,12983.55,13113.75,717711761,34008.74,0.035840244,0,0,N
3-Dec-20,13215.3,13216.6,13107.9,13133.9,713688035,39627.71,0.153419776,1,0,N
4-Dec-20,13177.4,13280.05,13152.85,13258.55,640514315,36428.05,0.940148055,1,0,N
7-Dec-20,13264.85,13366.65,13241.95,13355.75,591722966,33578.64,0.727776426,1,0,N
8-Dec-20,13393.85,13435.45,13311.05,13392.95,543165361,33755.81,0.277758074,1,0,N
9-Dec-20,13458.1,13548.9,13449.6,13529.1,502605319,28726.97,1.006349277,1,0,N
10-Dec-20,13488.5,13503.55,13399.3,13478.3,553402501,30400.2,-0.376902132,0,0,N
11-Dec-20,13512.3,13579.35,13402.85,13513.85,787707481,33696.57,0.26306345,0,0,N
14-Dec-20,13571.45,13597.5,13472.45,13558.15,558390043,28133.58,0.326740743,1,0,N
15-Dec-20,13547.2,13589.65,13447.05,13567.85,497600393,30828.33,0.071492536,1,0,N
16-Dec-20,13663.1,13692.35,13606.45,13682.7,462151091,27460.18,0.839381116,1,0,N
17-Dec-20,13713.55,13773.25,13673.55,13740.7,416008520,27712.93,0.422103677,1,0,N
18-Dec-20,13764.4,13772.85,13658.6,13760.55,519393189,34803.3,0.144252955,0,0,N
21-Dec-20,13741.9,13777.5,13131.45,13328.4,687255400,38243.62,-3.24232466,0,1,N
22-Dec-20,13373.65,13492.05,13192.9,13466.3,696197300,36328.33,1.024037783,0,0,N
23-Dec-20,13473.5,13619.45,13432.2,13601.1,458651819,27073.45,0.991096308,1,0,N
24-Dec-20,13672.15,13771.75,13626.9,13749.25,471367730,24764.35,1.077513319,0,0,N
28-Dec-20,13815.15,13885.3,13811.55,13873.2,403634030,20923.06,0.89344924,1,0,N
29-Dec-20,13910.35,13967.6,13859.9,13932.6,439593961,25154.23,0.426338228,0,0,N
30-Dec-20,13980.9,13997,13864.95,13981.95,380681073,24633.12,0.35295506,1,0,N
31-Dec-20,13970,14024.85,13936.45,13981.75,452410109,26305.82,-0.001430436,0,0,N
1-Jan-21,13996.1,14049.85,13991.35,14018.5,258090905,15873.75,0.262153583,1,0,N
4-Jan-21,14104.35,14147.95,13953.75,14132.9,494999295,28705.09,0.809458781,0,0,N
5-Jan-21,14075.15,14215.6,14048.15,14199.5,492475349,30872.87,0.4690306,1,0,N
6-Jan-21,14240.95,14244.15,14039.9,14146.25,632323316,34615.55,-0.376424848,0,0,N
7-Jan-21,14253.75,14256.25,14123.1,14137.35,559173512,33446.47,-0.062953807,1,0,N
8-Jan-21,14258.4,14367.3,14221.65,14347.25,613472067,37615.19,1.462998136,0,0,N
11-Jan-21,14474.05,14498.2,14383.1,14484.75,672878543,40186.21,0.949274237,0,0,N
12-Jan-21,14473.8,14590.65,14432.85,14563.45,929566952,44976.12,0.540393931,0,0,N
13-Jan-21,14639.8,14653.35,14435.7,14564.85,873956688,44682.93,0.009612183,1,0,N
14-Jan-21,14550.05,14617.8,14471.5,14595.6,620194977,37534.37,0.210679931,1,0,N
15-Jan-21,14594.35,14617.45,14357.85,14433.7,789557216,39912.18,-1.121680512,0,1,N
18-Jan-21,14453.3,14459.15,14222.8,14281.3,762043554,41716.22,-1.067129743,1,1,Y
19-Jan-21,14371.65,14546.05,14350.85,14521.15,546108304,33084.79,1.651728685,1,0,N
20-Jan-21,14538.3,14666.45,14517.55,14644.7,623069963,34639.36,0.843649921,0,0,N
21-Jan-21,14730.95,14753.55,14517.25,14590.35,704646957,41939.04,-0.372506485,0,0,N
22-Jan-21,14583.4,14619.9,14357.75,14371.9,776750347,45322.54,-1.519979961,0,1,N
25-Jan-21,14477.8,14491.1,14218.6,14238.9,618631493,42278.39,-0.934060918,1,1,Y
27-Jan-21,14237.95,14237.95,13929.3,13967.5,660711117,40579.24,-1.943082155,0,1,N
28-Jan-21,13810.4,13898.25,13713.25,13817.55,637871621,39881.82,-1.085214094,1,1,Y
29-Jan-21,13946.6,13966.85,13596.75,13634.6,753206122,46918.29,-1.341806874,0,1,N
1-Feb-21,13758.6,14336.35,13661.75,14281.2,870529495,51840.22,4.527630731,0,0,N
2-Feb-21,14481.1,14731.7,14469.15,14647.85,914965225,58177.74,2.503097724,0,0,N
3-Feb-21,14754.9,14868.85,14574.15,14789.95,869477087,49312.35,0.960787562,1,0,N
4-Feb-21,14789.05,14913.7,14714.75,14895.65,884686415,47811.8,0.709603139,0,0,N
5-Feb-21,14952.6,15014.65,14864.75,14924.25,935629058,54394.63,0.19163442,0,0,N
8-Feb-21,15064.3,15159.9,15041.05,15115.8,671242694,40483.96,1.267217084,1,0,N
9-Feb-21,15164.15,15257.1,15064.3,15109.3,713279133,41930.72,-0.043019862,0,0,N
10-Feb-21,15119.05,15168.25,14977.2,15106.5,624791133,40707.97,-0.018535068,1,0,N
11-Feb-21,15073.25,15188.5,15065.4,15173.3,500122414,30933.44,0.440247013,1,0,N
12-Feb-21,15186.2,15243.5,15081,15163.3,571808807,32304.24,-0.065948705,0,0,N
15-Feb-21,15270.3,15340.15,15243.4,15314.7,455959720,28955.29,0.988592659,1,0,N
16-Feb-21,15371.45,15431.75,15242.2,15313.45,648545320,36550.03,-0.008162759,0,0,N
17-Feb-21,15279.9,15314.3,15170.75,15208.9,504767226,34073.12,-0.687426441,1,0,N
18-Feb-21,15238.7,15250.75,15078.05,15118.95,770629541,37093.99,-0.594948723,0,0,N
19-Feb-21,15074.8,15144.05,14898.2,14981.75,712213821,37419.34,-0.915780867,1,1,Y
22-Feb-21,14999.05,15010.1,14635.05,14675.7,609898454,37578.07,-2.085420116,1,1,Y
23-Feb-21,14782.25,14854.5,14651.85,14707.8,744092809,39508.09,0.21825154,0,0,N
24-Feb-21,14729.15,15008.8,14723.05,14982,403754669,23723.99,1.830196235,1,0,N
25-Feb-21,15079.85,15176.5,15065.35,15097.35,803883875,42983.07,0.764041371,0,0,N
